Name,Symbol,Accession,Description,Entrez,Gene Symbol,Ensembl,MitoCarta2_List,Matrix,IMS,Coverage [%],# Peptides,# PSMs,# Protein Unique Peptides,# Unique Peptides,Chromosome,Modifications,Acetyl (K) Count,Acetyl (K) Positions,S3KO_126_Proteins,S3KO_127C_Proteins,S3KO_129N_Proteins,S3FL_127N_Proteins,S3FL_130N_Proteins,DFC_128N_Proteins,DFC_129C_Proteins,DKO_128C_Proteins,DKO_130C_Proteins,DKO_131_Proteins,S3KO_126_Proteins_norm,S3KO_127C_Proteins_norm,S3KO_129N_Proteins_norm,S3FL_127N_Proteins_norm,S3FL_130N_Proteins_norm,DFC_128N_Proteins_norm,DFC_129C_Proteins_norm,DKO_128C_Proteins_norm,DKO_130C_Proteins_norm,DKO_131_Proteins_norm,S3KO_126_Proteins_norm_log2,S3KO_127C_Proteins_norm_log2,S3KO_129N_Proteins_norm_log2,S3FL_127N_Proteins_norm_log2,S3FL_130N_Proteins_norm_log2,DFC_128N_Proteins_norm_log2,DFC_129C_Proteins_norm_log2,DKO_128C_Proteins_norm_log2,DKO_130C_Proteins_norm_log2,DKO_131_Proteins_norm_log2,A,DKOvsDFC_Log2FC,S3KOvsS3FL_Log2FC,DKOvsS3KO_Log2FC,DFCvsS3FL_Log2FC,DKOvsDFC_t,S3KOvsS3FL_t,DKOvsS3KO_t,DFCvsS3FL_t,DKOvsDFC_p_value,S3KOvsS3FL_p_value,DKOvsS3KO_p_value,DFCvsS3FL_p_value,F,F.p.value,DKOvsDFC_significant,S3KOvsS3FL_significant,DKOvsS3KO_significant,DFCvsS3FL_significant
ADP/ATP translocase 2,Slc25a5,P51881,ADP/ATP translocase 2 OS=Mus musculus GN=Slc25a5 PE=1 SV=3,11740,Slc25a5,ENSMUSG00000016319.3,True,False,False,69,30,767,15,15,X,Phospho [S22; S42; Y81; T84]; Acetyl [K23(100); K33(100); K92(100); K105(100); K163(100)],5,Acetyl [K23(100); K33(100); K92(100); K105(100); K163(100)],2486.7,2714.4,2236.9,2381.9,2215.0,2580.0,1939.1,2060.4,2306.0,2555.0,2331.642762801507,2569.8623115894393,2435.398272153383,2286.961581619161,2187.983745218331,2328.8182844847056,2334.5312525863214,2264.452264578983,2300.603014807995,2423.6592060990197,-0.00778540534766492,0.13255889292374512,0.05502555065096715,-0.03570004136715532,-0.09953015144351873,-0.009534099873077295,-0.005999269465569057,-0.04997004445894504,-0.02712011378063295,0.04805468216184572,11.1949164563293,-0.00191180735658314,0.12754810914768902,-0.0696115047682593,0.059848411736013005,-0.0314461151278762,2.0979585159508796,-1.2801442210662701,0.8986382045680071,0.975671414293877,0.0685755304049623,0.23578020372195002,0.394658174505872,1.5271855336054099,0.27942074854162,0,0,0,0
"ATP synthase F(0) complex subunit B1, mitochondrial",Atp5f1,Q9CQQ7,"ATP synthase F(0) complex subunit B1, mitochondrial OS=Mus musculus GN=Atp5f1 PE=1 SV=1",11950,Atp5f1,ENSMUSG00000000563.17,True,True,False,67,26,508,11,25,3,Acetyl [K139(100); K154(100); K188(100); K225(100); K244(100)],5,Acetyl [K139(100); K154(100); K188(100); K225(100); K244(100)],8054.9,7620.6,6461.4,7597.8,7524.7,10832.9,5574.2,6730.4,7282.7,7727.7,7552.639759556787,7214.8145931692015,7034.772406317613,7294.964820028574,7432.921574557281,9778.238602323398,6710.919554518423,7396.946962493877,7265.655496939368,7330.454499793109,0.016852168989920813,-0.049166486181366764,-0.0856250577142319,-0.033227786129586434,-0.006199420804133382,0.38944580260510087,-0.15361834361866933,-0.013198875465109339,-0.039035845300430694,-0.026226156381490284,12.8659130915541,-0.144067355208888,-0.0195995215016946,0.0131594992528825,0.137627332960076,-1.08405708952135,-0.147479629957332,0.110708493442581,0.945367442132353,0.309411384722093,0.8863423316929611,0.914529477272821,0.371693040746959,0.5547724389587829,0.659074447303001,0,0,0,0
"Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial",Etfdh,Q921G7,"Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial OS=Mus musculus GN=Etfdh PE=1 SV=1",66841,Etfdh,ENSMUSG00000027809.14,True,True,False,61,42,493,2,42,3,Acetyl [K133(100); K152(100); K283(100); K356(100); K496(100)],5,Acetyl [K133(100); K152(100); K283(100); K356(100); K496(100)],9766.7,9838.7,8969.2,9645.8,9334.3,10391.3,8292.2,9219.2,9993.1,10371.1,9157.701118531984,9314.804127996986,9765.109831730575,9261.335078711154,9220.449965233169,9379.631565723224,9983.188104118559,10132.22593554968,9969.712049990361,9837.96946863935,-0.06741732458116445,-0.042877372426740834,0.025233465842939395,-0.051182622987452575,-0.05756564784570806,-0.03287155044342249,0.057097805027728654,0.07847644277030419,0.055149031739883725,0.03595777290361113,13.2281870895366,0.0444146218457799,0.0260203916949298,0.0848814928595889,0.0664872627087387,0.8223103514018499,0.481752102102035,1.7570244465054097,1.12371872770147,0.4343329865295129,0.6426720037770319,0.11634131761854802,0.29318821118233396,1.73338937530797,0.236108098723085,0,0,0,0
"Isocitrate dehydrogenase [NAD] subunit, mitochondrial",Idh3a,A0A1L1STE6,"Isocitrate dehydrogenase [NAD] subunit, mitochondrial OS=Mus musculus GN=Idh3a PE=1 SV=1",,,ENSMUSG00000032279.11,False,False,False,57,28,434,0,28,9,Acetyl [K95(100); K118(100); K195(100); K218(100); K354(100)]; Phospho [S127],5,Acetyl [K95(100); K118(100); K195(100); K218(100); K354(100)],11054.9,10823.2,9871.2,10927.1,10185.7,12633.1,8562.7,9667.3,10480.8,10835.3,10365.575895160004,10246.880994250965,10747.151604488567,10491.564674634003,10061.465477955015,11403.176073536331,10308.849856387447,10624.703638790721,10456.27063209004,10278.30708252239,-0.017571977269957628,-0.03418740924997543,0.03458209272917934,-0.00014239745353528122,-0.060531797182258984,0.12006345767159665,-0.02548886755550228,0.01805035003586042,-0.005003862859101815,-0.02976958886631209,13.35708462937,-0.0528616622878904,0.0246113327209851,0.000151397367066153,0.0776243923759417,-0.8824609105984129,0.41085615063937203,0.00282571261295665,1.18293873209754,0.40284301586831706,0.6917848362947141,0.997813459292817,0.27024107494264005,0.503519184452105,0.690270324077636,0,0,0,0
"ATP synthase subunit beta, mitochondrial",Atp5b,P56480,"ATP synthase subunit beta, mitochondrial OS=Mus musculus GN=Atp5b PE=1 SV=2",11947,Atp5b,ENSMUSG00000025393.12,True,True,False,80,36,2173,36,36,10,Acetyl [K124(100); K133(100); K159(100); K198(100); K522(100)],5,Acetyl [K124(100); K133(100); K159(100); K198(100); K522(100)],27104.7,26905.7,23463.8,27351.7,26927.1,30380.4,20145.2,23924.7,26275.2,28708.8,25414.596691561514,25473.01222993368,25545.933201373573,26261.508498246272,26598.671379624615,27422.647678278743,24253.31287174564,26294.089057645502,26213.705262221607,27233.012687301576,-0.03594172479618507,-0.032629490390810645,-0.02850542257158928,0.011350727659671378,0.029755122602985296,0.07376880978899614,-0.10341723627555943,0.013139455014393064,0.008722229148228067,0.06375752981988825,14.669311440947402,0.0433639512374562,-0.0529118043841841,0.0608986172470303,-0.03537713837461,0.707639573203793,-0.863447301350279,1.1110809532329098,-0.52700573554067,0.49893251736927596,0.412617071939441,0.298282336347367,0.612250811914369,0.508124651334932,0.687416969750029,0,0,0,0
"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",Acadvl,P50544,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Acadvl PE=1 SV=3",11370,Acadvl,ENSMUSG00000018574.14,True,True,False,75,51,796,1,51,11,Acetyl [K52(100); K196(100); K240(100); K279(100); K299(99.6)],5,Acetyl [K52(100); K196(100); K240(100); K279(100); K299(99.6)],18399.5,16773.5,15265.3,17443.4,17034.9,17913.4,12612.7,15033.3,17942.7,18618.3,17252.206142343803,15880.336532362753,16619.913828916375,16748.136215968625,16827.126095449097,16169.400564840438,15184.74670181811,16522.12688269036,17900.706727578236,17661.218863762573,0.05051940787367215,-0.06901996576119984,-0.0033485497915588525,0.00773910514765852,0.014527348027021603,-0.0429952558885045,-0.13363860884556011,-0.011862035910526814,0.10375509501228031,0.08432346013671577,14.02397383137,0.14705577211319298,-0.0184162624803665,0.0660218756391853,-0.0994501589543741,2.3614190972925697,-0.29572803091615996,1.18531521759652,-1.45782654539416,0.04534434634128,0.7748440927380341,0.269351606344892,0.18237423764889898,1.88792339745846,0.208859563226894,0,0,0,0
"ATP synthase subunit d, mitochondrial",Atp5h,Q9DCX2,"ATP synthase subunit d, mitochondrial OS=Mus musculus GN=Atp5h PE=1 SV=3",71679,Atp5h,ENSMUSG00000034566.10,True,True,False,93,22,404,1,22,11,Acetyl [K48(100); K72(100); K95(100); K117(100); K149(100)]; Phospho [S44],5,Acetyl [K48(100); K72(100); K95(100); K117(100); K149(100)],11655.6,11308.8,9712.6,11588.8,10990.8,10094.3,7987.1,9744.5,10489.4,11541.5,10928.819474045622,10706.623529804983,10574.477740675466,11126.89045596714,10856.745709682002,9111.546670183707,9615.87054176278,10709.549161420064,10464.850504565038,10948.204589898956,0.05971049429436803,0.030076503654303366,0.012159336434628187,0.08562339454842594,0.050164646765749055,-0.20265920083260625,-0.12493769756660278,0.03047067252001412,-0.002875373743345122,0.0622672239250921,13.3561394554394,0.193752623433529,-0.0339119091959805,-0.0040279372271783105,-0.231692469856688,3.76729598397325,-0.659377907038831,-0.0875628424753121,-4.1124766695415405,0.00531968344563311,0.527869287675032,0.932340710259102,0.00325811956897602,7.24990299845791,0.0110078674574745,0,0,0,0
"Dihydrolipoyl dehydrogenase, mitochondrial",Dld,O08749,"Dihydrolipoyl dehydrogenase, mitochondrial OS=Mus musculus GN=Dld PE=1 SV=2",13382,Dld,ENSMUSG00000020664.10,True,True,False,74,36,531,36,36,12,Acetyl [K66(100); K122(100); K143(100); K277(100); K420(100)]; Phospho [S285],5,Acetyl [K66(100); K122(100); K143(100); K277(100); K420(100)],9067.0,9064.4,7801.2,9138.2,8938.5,9053.3,6755.5,8017.7,8703.9,9591.9,8501.63064717146,8581.73443013974,8493.46372243863,8773.967137643149,8829.477519925082,8171.895571676505,8133.116330693051,8811.735061985493,8683.529306412534,9098.82455537424,-0.017139024895742594,-0.003609351216338652,-0.01852558768404755,0.028350695405658044,0.03744946218047396,-0.07420783938836628,-0.0810703580398151,0.03454751146769652,0.013402918873406833,0.08080157329708193,13.0706628920977,0.120556433260155,-0.0459914000584387,0.0560086558114392,-0.110539177507155,2.5703667681012003,-0.9805761760847421,1.3351032817236,-2.1514453201947097,0.0326579844398261,0.355052956885432,0.217985593681075,0.0630632824602768,2.55831160062962,0.126942883073386,0,0,0,0
"ATP synthase-coupling factor 6, mitochondrial",Atp5j,P97450,"ATP synthase-coupling factor 6, mitochondrial OS=Mus musculus GN=Atp5j PE=1 SV=1",11957,Atp5j,ENSMUSG00000022890.13,True,False,True,62,13,212,6,13,16,Acetyl [K41(100); K46(100); K94(100); K105(100)],4,Acetyl [K41(100); K46(100); K94(100); K105(100)],4227.6,4436.7,3601.4,4498.8,4248.6,4649.6,3070.7,3685.0,4124.6,4454.4,3963.989602292055,4200.452445412932,3920.9814195239815,4319.485605352148,4196.780018029166,4196.927711449646,3696.8929489540596,4049.9449597037237,4114.946745393346,4225.419791642846,-0.043284091712363804,0.04030746399286933,-0.05902246466617811,0.08062224637841275,0.03904557368902495,0.039096344235769465,-0.14392400202911837,-0.012334968638455734,0.010636489777828828,0.04885740897221247,11.996021554655302,0.0681334722672098,-0.0805002741622705,0.036386007499086,-0.112247738930394,1.0135234948021898,-1.1974865875248402,0.60514954281512,-1.52426429561126,0.339995229018906,0.26483361095024305,0.561572719664044,0.16531786300221699,0.902169607262226,0.480782124503887,0,0,0,0
"2-oxoglutarate dehydrogenase, mitochondrial",Ogdh,Q60597,"2-oxoglutarate dehydrogenase, mitochondrial OS=Mus musculus GN=Ogdh PE=1 SV=3",18293,Ogdh,ENSMUSG00000020456.17,True,True,False,66,79,721,1,63,11,Acetyl [K276(100); K401(100); K970(100); K999(100)],4,Acetyl [K276(100); K401(100); K970(100); K999(100)],16182.1,16420.7,14479.9,16273.3,16185.2,16075.3,12857.0,14597.5,15365.3,16302.0,15173.071279981612,15546.322597965189,15764.818919466123,15624.674380185183,15987.78984790417,14510.25293355697,15478.865615235076,16043.167313236121,15329.338900012697,15463.989188973079,-0.02949997532207327,0.0055602429298708955,0.025695483041213052,0.01281300842854094,0.04595739869021642,-0.09394044797516798,-0.0007133697971344333,0.05094587741781531,-0.014717635726132272,-0.0021005816871646488,13.9187254952965,0.0587027955543284,-0.0287999533430394,0.0107906364518406,-0.0767121124455272,1.10043814098655,-0.539881735069715,0.226156418666975,-1.31274438680371,0.30262676909698305,0.603735331144739,0.826657252023152,0.22508196174931697,0.643852097632039,0.607857967462989,0,0,0,0
